id,text,query
/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master Circular for Issue of Capital and Disclosure Requirements.pdf_52_43,"Total No. of 
Shares 
applied for 
at each lot 
No. of investors 
who shall receive 
minimum bid-lot 
(to be selected on 
lottery) 
 
Allotment 
Ratio 
Determined 
No. of shares 
allotted per 
allottee 
(minimum lot 
size) 
A  B  C  D=(B*C) E  F = E:C G  
  
1   
20 
 
10,000 
 
200,000 8750= (175000/200 
000)*10000 
 
7:8 
 20 
 2  40 10,000 400,000  8,750 7:8  20 
 3  60 10,000 600,000  8,750 7:8  20 
 4  80 10,000 800,000  8,750 7:8  20 
 5 100 20,000 2,000,000  17,500 7:8  20 
 6 120 20,000 2,400,000  17,500 7:8  20 
 7 140 15,000 2,100,000  13,125 7:8  20 
 8 160 20,000 3,200,000  17,500 7:8  20 
 9 180 10,000 1,800,000  8,750 7:8  20 
10 200 15,000 3,000,000  13,125 7:8  20 
11 220 10,000 2,200,000  8,750 7:8  20 
12 240 10,000 2,400,000  8,750 7:8  20 
13 260 10,000 2,600,000  8,750 7:8  20 
14 280  5,000 1,400,000  4,375 7:8  20 
15 300 15,000 4,500,000  13,125 7:8  20 
16 320 10,000 3,200,000  8,750 7:8  20 
  Total 200,000 32,800,000  175,000","""share allotment ratio"""
"/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master circular for compliance with the provisions of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 by listed entities.pdf_89_45","provide redemption/conversion of IDRs into underlying equity shares of the issuer of up to 25% of 
the IDRs originally issued. The Issuer shall invite expression of interest from IDR holders by giving 
advertisements in leading English and Hindi national daily newspapers with wide circulation as well","""convert IDR to equity"""
"/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master circular for compliance with the provisions of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 by listed entities.pdf_188_46","Page 189 of 261 
 
PRINCIPLE 3 Businesses should respect and promote the well-being of all employees, including 
those in their value chains 
Essential Indicators 
Q.N
o. 
Field Name Instruction/Guidance 
1 Measures for well -being of 
employees and workers 
In case the entity desires to disclose any benefits other than 
those specified in this field, additional columns may be added 
for such disclosures. 
3 Accessibility of workplaces 
 
Accessibility refers to physical accessibility such as 
wheelchair ramps, braille signage and accessible restrooms, 
and digital accessibility, where information and 
communication technology is accessible to all and/or 
compatible with assistive technology devices. 
5 Return to work and Retention 
rates of permanent 
employees / workers that took 
parental leave 
1. Parental leave refers to maternity and paternity leave. 
 
2. The entity shall use the following formulas to calculate 
return to work rate, for each category of employee (male","""employee well-being"""
/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master Circular for Issue of Capital and Disclosure Requirements.pdf_109_9,"Page 110 of 132 
 
 
 
        5. Entering of UPI PIN 6. Confirmation page 
 
 
 
7. Approved mandates 
visible in UPI application 
Block confirmation SMS 
to investor 
Block confirmation 
application intimation","""UPI PIN confirmation"""
/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master Circular for Issue of Capital and Disclosure Requirements.pdf_98_35,"Page 99 of 132 
 
 
2. The Stock  Exchange(s) shall ensure that details of the Controlling Branch (CB) and Designated  
Branches (DBs) of each SCSB are available on the website of the Stock Exchange(s) in an easily 
accessible form. 
3. The Stock Exchange(s) shall enable: 
(i) access to their electronic bidding system through a web enabled interface, to SCSBs, for 
uploading details of ASBA; 
(ii) SCSBs to upload data on the electronic bidding system in a secured way; and 
(iii) identification of data uploaded by each SCSB, DB‐wise. 
4. The Stock Exchange(s) shall ensure that the electronic bidding system provides all the 
appropriate fields, along with identification of SCSBs, to enable SCSBs to upload the b id data 
properly. The electronic bidding system shall also  be enabled to display bid opening/ closing date, 
price band and revision in price band/ bid period and to reset relevant data fields upon revision, if 
any.","""stock exchange electronic bidding system"""
"/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master circular for compliance with the provisions of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 by listed entities.pdf_114_44","Page 115 of 261 
 
Exhibit B2: When an Unmodified Opinion is expressed on the Audited quarterly and year to 
date Financial Results (for Banks)  
 
Illustrative format of Independent Auditor’s Report (Unmodified Opinion) on Audited Standalone 
Quarterly Financial Results and Year to Date Results of the Bank Pursuant to the Regulation 33 of 
the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015. 
 INDEPENDENT AUDITOR’S REPORT   
 
TO THE BOARD OF DIRECTORS OF.........................  
 
Report on the Audit of the Standalone Financial Results  
 
Opinion  
We have audited the accompanying standalone quarterly Financial Results of ……… (Name of the 
bank) (“the Bank”) for the quarter ended ………(date of the quarter end) and the year to date results 
for the period fr om ……to …… attached herewith, being submitted by the Bank pursuant to the 
requirement of Regulation 33 of the SEBI (Listing Obligations and Disclosure Requirements)","""unmodified opinion on audited quarterly financial results"""
"/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master circular for compliance with the provisions of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 by listed entities.pdf_237_39","5. The unaffected price shall be applicable for a period of 60 days or 180 days, as applicable 
based on the stage of transaction,  from the date of confirmation of the market rumour till 
the ‘relevant date’ under the existing regulations (public announcement, board appr oval, 
etc., as the case may be) . The stages of transaction and applicability period of the 
unaffected price shall be specified in the Industry Standards on Regulation 30(11) of LODR 
Regulations. 
6. In case rumour pertaining to a transaction has been confirmed by the listed entity and 
subsequent rumour(s) are reported in the mainstream media with material update to the 
transaction which require confirmation under Regulation 30(11) of LODR Regulations, then 
the unaffected priceshall be applicable for each instance of confirmation of rumour . The 
following illustration is given for clarity: 
 
6.1. In the illustration given in Table 1 above, the rumour has been confirmed on July 28,","""unaffected price lodr regulations market rumour"""
/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master Circular for Issue of Capital and Disclosure Requirements.pdf_1_3,"suffered thereunder, any right, privilege, obligation or liability acquired, accrued or 
incurred under the rescinded circulars, any penalty, incurred in res pect of any 
violation committed against the rescinded circulars, or any investigation, legal 
proceeding or remedy in respect of any such right, privilege, obligation, liability, 
penalty as aforesaid, shall remain unaffected as if the rescinded circulars ha ve 
never been rescinded. 
6. The Recognized Stock Exchanges and Depositories are directed to 
(a) bring the contents of this circular to the notice of the all the stakeholders; 
(b) put in place necessary systems and infrastructure for monitoring and 
implementation of this circular; 
(c) make consequential changes, if  any, to their respective bye -laws, rules and 
regulations and bidding portal. 
7. All listed entities/ proposed to  be listed entities are directed to comply, wherever 
applicable, with the conditions laid down in this circular.","""rescinded circulars"""
"/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master circular for compliance with the provisions of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 by listed entities.pdf_117_11","Regulation 33 (8) of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 
2015, as amended, to the extent applicable. 
 
4. The Statement includes the results of the following entities: ( indicate list of entities included 
in the consolidation similar to the requirement for audited consolidated results). 
                                                           
78 Regulations includes relevant circulars issued by SEBI from time to time. 
79 As applicable (for example, in the first financial year of a newly listed company, or when consolidated quarterly financial 
results are submitted for the first time pursuant to the mandatory requirement with effect from April 1, 2019, and no quarterly 
consolidated financial results were submitted in the previous year). 
80 In case of nationalised banks, the reference of Institute of Chartered Accountants of India be suitably specified in lieu of 
the reference of The Companies Act, 2013.","""SEBI listing obligations disclosure requirements"""
"/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master circular for compliance with the provisions of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 by listed entities.pdf_86_36","Page 87 of 261 
 
ANNEXURE 6 
Format for disclosure of loans / guarantees / comfort letters / securities etc. to be 
submitted twice a year, on a half yearly basis, by the listed entity at the end of every 6 
months of the financial year 
Half year ending - ……………… 
 
I. Disclosure of Loans / guarantees / comfort letters / securities etc. refer note below 
 
(A) Any loan or any other form of debt advanced by the listed entity directly or indirectly to:  
 
Entity Aggregate amount advanced 
during six months  
Balance outstanding at the end of 
six months 
Promoter or any other entity 
controlled by them 
  
Promoter Group or any 
other entity controlled by 
them 
  
Directors (including 
relatives) or any other entity 
controlled by them 
  
KMPs or any other entity 
controlled by them 
  
 
(B) Any guarantee/ comfort letter (by whatever name called) provided by the listed entity directly or indirectly, 
in connection with any loan(s) or any other form of debt availed by:","""loans guarantees securities financial reporting"""
"/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master circular for compliance with the provisions of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 by listed entities.pdf_81_25","Page 82 of 261 
 
ANNEXURE 4 
 
Format for Compliance Report on Corporate Governance to be submitted by a listed entity at the end of the financial year (for the whole of 
financial year) 
I. Disclosure on website in terms of LODR Regulations  
Item Compliance status 
(Yes/No/NA)refer note below 
If Yes provide link to website. 
If No / NA provide reasons 
     As per regulation 46(2) of the LODR:   
a) Details of business   
b) Terms and conditions of appointment of independent directors   
c) Composition of various committees of board of directors   
d) Code of conduct of board of directors and senior management personnel   
e) Details of establishment of vigil mechanism/ Whistle Blower policy    
f) Criteria of making payments to non-executive directors   
g) Policy on dealing with related party transactions   
h) Policy for determining ‘material’ subsidiaries   
i) Details of familiarization programmes imparted to independent directors","""corporate governance compliance report"""
"/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master circular for compliance with the provisions of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 by listed entities.pdf_215_20","Page 216 of 261 
structure of existing securities including forfeiture, reissue of forfeited 
securities, alteration of calls, redemption of securities etc.   
 
2.1. Issuance of securities:   
 
a) type of securities proposed to be issued (viz. equity shares, convertibles etc.);   
b) type of issuance (further public offering, rights issue, depository receipts 
(ADR/GDR), qualified institutions placement, preferential allotment etc.);  
c) total number of securities proposed to be issued or the total amount for which the 
securities will be issued (approximately);  
d) in case of preferential issue the listed entity shall disclose the following additional 
details to the stock exchange(s): 
i. names of the investors;  
ii. post allotment of securities - outcome of the subscription, issue price / allotted 
price (in case of convertibles), number of investors;  
iii. in case of convertibles - intimation on conversion of securities or on lapse of 
the tenure of the instrument;","""structure of securities issuance"""
"/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master circular for compliance with the provisions of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 by listed entities.pdf_230_18","13. Proceedings of a nnual and extraordinary general meetings of 
the listed entity. 
Within 12 hours * 
14. Amendments to memorandum and articles of association of 
listed entity, in brief.  
Within 12 hours * 
15. (a) Schedule of analysts or institutional investo rs meet and 
presentations made by the listed entity to analysts or 
institutional investors. 
(b) Audio or video recordings and transcripts of post 
earnings/quarterly calls, by whatever name called, 
conducted physically or through digital means. 
Timeline as 
specified in sub-
para 15 of Para 
A of Schedule III. 
16. Events in relation to the corporate insolvency resolution 
process (CIRP) of a listed corporate debtor under the 
Insolvency Code. 
Within 24 hours 
17. Initiation of Forensic audit: In case of initiation of forensic audit, 
(by whatever name called), the following disclosures shall be 
made to the stock exchanges by listed entities: 
Within 12 hours * 
(if initiated by the 
listed entity);","""corporate insolvency resolution process CIRP"""
/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master Circular for Issue of Capital and Disclosure Requirements.pdf_99_40,"T+2 (in 
DD/MM/Y 
YYY 
format) 
 
 
Date of 
Actual 
Unblock 
(DD/MM/Y 
YYY) 
        
 
4. We further confirm that we have paid all applicable compensation relating to investor complaints in 
terms of the requirements of applicable SEBI circulars. We have enclosed a data file of all ASBA 
applications for which we have paid applicable compensation in the format specified below:  
 Format A: Compensation for delayed unblock for cancelled/ withdrawn/ deleted applications 
(Refer to Schedule I) [Enter ‘Nil’ if not applicable] 
 
 Format B: Compensation for blocking of multiple amounts for the same UPI Application 
(Refer to Schedule II) [Enter ‘Nil’ if not applicable]","""SEBI compensation for investor complaints"""
"/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master circular for compliance with the provisions of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 by listed entities.pdf_247_11","Page 248 of 261 
 
5. Whether the Board evaluates an d analyses the compliance certificate from 
the auditors / practicing company secretaries regarding compliance of 
conditions of corporate governance.  
 
iv. Evaluation of Risks:   
1. Whether Board undertakes a review of the high risk issues impacting the 
organization regularly  
2. In assessment of risks, whether it is ensured that, while rightly encouraging 
positive thinking, these do not result in over -optimism that either leads to 
significant risks not being recognised or exposes the entity to excessive risk.  
 
v. Grievance redressal for Investors:  
Whether the Board regularly reviews the grievance redressal mechanism of 
investors, details of grievances received, disposed of and those remaining 
unresolved.   
 
vi. Conflict of interest:  
1. Whether the Board monitors and manages potential conflicts of interest of 
management, members of the board of directors and shareholders, including","""corporate governance compliance certificate"""
/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master Circular for Issue of Capital and Disclosure Requirements.pdf_42_21,"Page 43 of 132 
 
 
GENERAL RISKS 
Investment in equity & equity-relate d securitie s involve a degree of risk and investors should not invest any 
funds in this Issue unless they can afford to take the risk of losing their investment. Investors are advised to read 
the risk factors carefully before taking an investment decision in this Issue. For taking an investment decision, 
investors must rely on their own examination of the Issuer and this Issue, including the risks involved. The Equity 
Shares have not been recommended or approved by the Securitie s and Exchange Board of India (“SEBI”), nor 
does, SEBI guarantee the accuracy or adequacy of the contents of the RHP. Specified atte ntion of the investors 
is invited to the secti on title d “Risk Fact ors” at page XXX of the RHP and on page XX of this Abridged 
Prospectus. 
PROCEDUR E 
You may obtain a physical copy of the Bid -cum-Applicati on Form and the RHP from the stock exchange,","""equity investment risk"""
"/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master circular for compliance with the provisions of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 by listed entities.pdf_128_8","Page 129 of 261 
 
We communicate with those charged with governance of the Bank and such other entities included 
in the consolidated Financial Results of which we are the independent auditors regarding, among 
other matters, the planned scope and timing of the audit and significant audit findings, including any 
significant deficiencies in internal control that we identify during our audit.  
We also provide those charged with governance with a statement that we have complied with 
relevant ethical requirements regarding independence, and to communicate with them all 
relationships and other matters that may reasonably be thought to bea r on our independence, and 
where applicable, related safeguards.  
We also performed procedures in accordance with the circular issued by the SEBI under Regulation 
33(8) of the LODR Regulations, as amended, to the extent applicable.  
Other Matters  
The consolidated Financial Results include the audited Financial Results of ______ subsidiaries,","""auditor communication with governance"""
/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master Circular for Issue of Capital and Disclosure Requirements.pdf_45_28,"Page 46 of 132 
 
  
 
                                                     
Details of means of finance 
OBJECTS OF THE ISSUE 
 
 
The find requirements for each of the objects of the Issue are state d as follows: (Rs. in crores) 
 
Sr. Objects of the Issue Total Amount Amount to Estimated Net Proceed s 
No.  estimate 
cost 
depl oye
d 
till 
be finance d 
from Net 
Proceed s 
Utiliz ation 
Fiscal 20_ Fiscal 
20_ 
1       
2       
3       
4       
5 General corporate purposes 
 
     
 Total      
 
Details and reasons for non -depl oyment or delay in depl oyment of proceed s or changes in 
utiliz ation of issue proceed s of past publi c issues / rights issue, if any, of the Company in the 
prec eding 10 years. 
 
Name of monitoring agency, if any  
Terms of Issuance of Convertible Securi ty, if any 
 
Convertible securities being offered by the 
Company 
 
Face Value / Issue Price per Convertible 
Securities 
 
Issue Size  
Interest on Convertible Securities","""details of means of finance"""
"/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master circular for compliance with the provisions of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 by listed entities.pdf_219_35","Page 220 of 261 
i. details of the counterparties (including name and relationship with the listed 
entity); 
b) if listed entity is not a party to the agreement, 
i. name of the party entering into such an agreement and the relationship with 
the listed entity; 
ii. details of the counterparties to the agreement (including name and 
relationship with the listed entity); 
iii. date of entering into the agreement. 
c) purpose of entering into the agreement;  
d) shareholding, if any, in the entity with whom the agreement is executed;  
e) significant terms of the agreement (in brief); 
f) extent and the nature of impact on management or control of the listed entity; 
g) details and quantification of the restriction or liability imposed upon the listed 
entity; 
h) whether, the said parties are relate d to promoter/promoter group/ group 
companies in any manner. If yes, nature of relationship;  
i) whether the transaction would fall within related party transactions? If yes,","""counterparty agreements listed entity counterparties"""
/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master Circular for Issue of Capital and Disclosure Requirements.pdf_86_8,"e. Payment Details (ASBA Bank Account No., Bank & branch) 
f. Received from Name, Telephone/Mobile and Email of Bidder 
g. Stamp & Signature of Banker 
17. Acknowledgement Slip for Bidder 
a. Columns for Bid Options (Option 1, Option 2 or Option 3), rows for Number of equity shares bid, 
Bid price, Total Amount blocked 
b. 8 digit Application Number 
c. Name of First / Sole Applicant 
d. Acknowledgement of Broker / SCSB / RTA / DP 
e. Payment Details (ASBA Bank Account No., Bank & Branch) 
C. Overleaf of main Application Form 
1.  Bidder’s Undertaking and Confirmations 
2.  Instructions corresponding to each item of main application form and specific instruction regarding: 
a. Name (Name should be given exactly as appearing in DP records) 
b. Instruction regarding PAN 
c. Information regarding use of demographic details 
d. Terms of Present Issue viz. Minimum & Maximum bid Size, Bid lot & Price Band, Margin Amount, 
bidding instructions","""ASBA application form instructions"""
/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master Circular for Issue of Capital and Disclosure Requirements.pdf_14_35,"Page 15 of 132 
 
Chapter 5: Compensation to Retail Individual Investors (RIIs) in an IPO 7 
 
1. Applications Supported by Block Amount (ASBA) has resulted in almost complete 
elimination of complaints pertaining to refunds, there have been instances where the 
applicants in an  Initial Public Offering have failed to get allotment of specified 
securities and in the process may have suffered an opportunity loss due to the 
following factors: 
1.1. Failure on part of the Self Certified Syndicate Banks (SCSB) to make bids in the 
concerned Exchange system even after the amount has been blocked in the 
investors’ bank account with such SCSB. 
1.2. Failure on part of the SCSB to process the ASBA applications even when they 
have been submitted within time. 
1.3. Any other failures on part of an SCSB which h as resulted in the rejection of the 
application form. 
2. In order to have a uniform policy for calculation of minimum compensation payable to","""ASBA IPO compensation refund"""
"/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master circular for compliance with the provisions of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 by listed entities.pdf_16_1","modified opinion shall be accompanied by a Statement on Impact of Audit qualifications. 
Further, in terms of regulation 33(4), the Statement on Impact of Audit Qualifications for audit 
report with modified opinion shall be in the manner as specified by the Board.  
 
18. Therefore, every listed entity shall submit the Statement on Impact of Audit Qualifications, for 
audit report with modified opinion, in the format specified at Annexure 12 to this circular. The 
management of the listed entity shall have the opti on to explain its views on the audit 
qualifications. The recognized stock exchange(s) shall review the aforesaid statement in terms 
of regulation 95 of the LODR Regulations and monitor it as part of its regular monitoring as 
specified in regulation 97 of the LODR Regulations.  
 
19. For audit reports with unmodified opinion, the listed entity shall furnish a declaration to that 
effect to the stock exchange(s) while submitting the audited financial results.  
 
******","""modified opinion audit qualifications statement impact"""
"/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master circular for compliance with the provisions of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 by listed entities.pdf_249_18","independence of the Committee is ensured from the Board   
 
e. Contribution to decisions of the Board: Whether the Committee’s 
recommendations contribute effectively to decisions of the Board.  
 
C. Individual Directors and Chairperson (including Chairperson, CEO, Independent 
Directors, Non-independent directors, etc.) 
General 
a. Qualifications: Details of professional qualifications of the member  
b. Experience: Details of prior experience of the member, especially the experience 
relevant to the entity 
c. Knowledge and Competency: 
i. How the person fares across different competencies as identified for effective 
functioning of the entity and the Board (The entity may list various 
competencies and mark all directors against every such competency) 
ii. Whether the person has sufficient understanding and knowledge of the entity 
and the sector in which it operates 
d. Fulfillment of functions:  Whether the person understands and fulfills the","""committee member qualifications"""
"/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master circular for compliance with the provisions of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 by listed entities.pdf_132_19","Notes:  
 
1. The details in this format are required to be provided for all transactions undertaken during  the reporting period. However, opening and closing balances, 
including commitments, to be disclosed for existing related party transactions even if there is no new related party transact ion during the reporting period.","""related party transactions reporting period"""
"/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master circular for compliance with the provisions of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 by listed entities.pdf_173_6","Families (PAFs)  
% of PAFs 
covered by 
R&R  
Amounts 
paid to PAFs 
in the FY (In 
INR) 
       
       
 
3. Describe the mechanisms to receive and redress grievances of the community.   
 
4. Percentage of input material (inputs to total inputs by value) sourced from suppliers: 
 
5. Job creation in smaller towns – Disclose wages paid to persons employed (including employees 
or workers employed on a perm anent or non -permanent / on contract basis) in the following 
locations, as % of total wage cost 
(Place to be categorized as per RBI Classification System - rural / semi-urban / urban / metropolitan) 
 FY _____ 
Current Financial 
Year 
FY _____ 
Previous 
Financial Year 
Directly sourced from MSMEs/ small producers    
Directly from within India","""Company transparency community grievances job creation wages paid small towns MSMEs suppliers"""
"/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master circular for compliance with the provisions of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 by listed entities.pdf_248_15","longer term interests of the entity and its shareholders.   
6. Whether the Board selects, compensates, monitors and, when necessary, 
replaces key managerial personnel based on such evaluation.   
7. Whether the Board ‘steps back’ to assist executive management by 
challenging the assumptions underlying strategy, stra tegic initiatives (such 
as acquisitions), risk appetite, exposures and the key areas of the entity’s 
focus.  
 
ii. Independence of the management from the Board: Whether the level of 
independence of the management from the Board is adequate   
 
iii. Access of the man agement to the Board and Board access to the 
management: Whether the Board and the management are able to actively 
access each other and exchange information   
 
iv. Secretarial support : Whether adequate secretarial and logistical support is 
available for conducting Board meetings   
 
v. Fund availability: Whether sufficient funds are made available to the Board for","""board of directors responsibilities and best practices"""
/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master Circular for Issue of Capital and Disclosure Requirements.pdf_61_9,"Page 62 of 132 
 
 
 
Table III: ISD for qualified institutions placement 
 
Sr. 
No. 
Particular Field Description Source for 
information 
Timeline for 
submission  
In Principle approval stage 
1 Name of the listed entity Name of the listed entity 
Issuer along with 
Lead Manager 
 
Data from 1 to 
14 shall be 
submitted by 
the Lead 
Manager 
before grant of 
in principle 
approval by 
the 
Exchange(s) 
2 ISIN ISIN 
3 Corporate Identity Number (CIN) of the Listed Entity CIN 
4 Permanent Account Number (PAN) PAN 
5 BSE Scrip code*   
6 NSE Symbol   
7 MSEI Symbol   
8 Board resolution approving the issue of specified 
securities 
Date 
9 Object of the Issue (As per Notice/offer document)   
10 Date of Shareholders approval for placement with QIBs Date 
11 Issue Size Applied for (No of Shares/Rs. in crores) No of shares/Rs. in crores 
12 Provision for discount % 
13 Listed at  Name of the Stock 
Exchange(s)  
14 Name of the Merchant Banker(s) Name 
Listing Stage","""ISD for qualified institutions placement"""
/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master Circular for Issue of Capital and Disclosure Requirements.pdf_95_23,"Page 96 of 132 
 
 
8. In case of withdrawal of bids by investors during the bidding period, SCSB shall ensure  deletion of 
the withdrawn ASBA from the electronic bidding system of the Stock Exchange(s) and unblocking of 
funds in the relevant bank account within the timelines specified in the ASBA facility. 
9. SCSB shall send the following aggregate information as per the format specified by the Registrar 
to the Issue, to the Registrar to the Issue after the closure of the bidding period, within the 
timelines specified in the ASBA facility: 
(i) Total number of ASBAs uploaded by the SCSB; and 
(ii) Total number of shares and total amount blocked against the uploaded ASBAs 
10. SCSB shall ensure that the bank accounts specified in the ASBAs are duly blocked to the  extent of 
the application money (including revision in bids, if any) till withdrawal/ rejection of the ASBAs or 
receipt of instruction from the Registrar to the Issue for unblocking the bank accounts for the","""ASBA bidding process timelines"""
"/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master circular for compliance with the provisions of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 by listed entities.pdf_147_1","Page 148 of 261 
 
SECTION C: PRINCIPLE WISE PERFORMANCE DISCLOSURE 
This section is aimed at helping entities demonstrate their performance in integrating the Principles and 
Core Elements with key processes and decisions. The information sought is categorized as “Essential” 
and “Leadership”. While the essential indicators are expected to be disclosed by every entity that is 
mandated to file this report, t he leadership indicators may be voluntarily disclosed by entities which 
aspire to progress to a higher level in their quest to be socially, environmentally and ethically 
responsible. 
 
PRINCIPLE 1 Businesses should conduct and govern themselves with 
integrity, and in a manner that is Ethical, Transparent and Accountable. 
 
Essential Indicators 
1. Percentage coverage by training and awareness programmes on any of the Principles during the 
financial year: 
Segment Total number of 
training and 
awareness 
programmes held 
Topics / 
principles 
covered under 
the training and","""principle 1 business ethics training"""
"/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master circular for compliance with the provisions of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 by listed entities.pdf_79_20","Page 80 of 261 
 
II. Composition of Committees 
Name of Committee Whether Regular 
chairperson appointed 
Name of 
Committee 
members 
Category 
(Chairperson/Executive/Non- 
Executive/independent/ 
Nominee) & 
Date of 
Appointment 
Date of Cessation 
1. Audit Committee      
2. Nomination & Remuneration Committee      
3. Risk Management Committee(if applicable)      
4. Stakeholders Relationship Committee      
&Category of directors means executive/non-executive/independent/Nominee. if a director fits into more than one category write all categories separating them with 
hyphen 
 
III. Meeting of Board of Directors 
Date(s) of Meeting (if 
any) in the previous 
quarter 
Date(s) of Meeting (if any) 
in the relevant quarter 
Whether 
requirement of 
Quorum met* 
Number of Directors 
present* 
Number of independent 
directors present* 
 
Maximum gap between any 
two consecutive meetings (in 
number of days) 
  Yes / No    
* to be filled in only for the current quarter meetings","""Committee composition and board meeting"""
"/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master circular for compliance with the provisions of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 by listed entities.pdf_103_47","46 To be given on half yearly basis with effect from April 1, 2019 
47Where applicable 
48 Figures for total assets to be reported when balance sheet is also presented with the income statements.  
49 All amounts, whether audited by other auditors or unaudited to be presented before giving effect to the 
permanent and current period consolidation adjustments as specified by paragraph 50 of the Guidance Note on 
Audit of Consolidated Financial Statements issued by the ICAI 
50 To be given on half yearly basis with effect from April 1, 2019.","""consolidated financial statements audit ICAI"""
